epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5462,1.07183,3.26426,1.24763,0.43819,0.40531,0.27569,0.17902,1.15643,8.43937,1.25805,0.0676226,0.000327044,0.000327044
2,57.8904,1.31643,3.05115,1.34956,0.35927,0.2665,0.19321,0.08752,1.82406,96.2874,2.13396,0.034616,0.000653774,0.000653774
3,89.3675,1.59961,3.62438,1.60595,0.06607,0.27895,0.06185,0.02716,1.86544,4.53462,1.88332,0.00160277,0.000973838,0.000973838
4,117.808,1.58905,2.90169,1.55587,0.44024,0.41443,0.30707,0.18197,1.26523,4.5955,1.35101,0.000970003,0.000970003,0.000970003
5,145.89,1.33444,2.14518,1.34622,0.44441,0.34284,0.36928,0.27485,1.24408,2.601,1.33803,0.000960004,0.000960004,0.000960004
6,174.053,1.18233,1.65072,1.24484,0.7024,0.62605,0.71039,0.51012,1.13786,1.47835,1.19228,0.000950005,0.000950005,0.000950005
7,202.522,1.13144,1.45274,1.22974,0.86192,0.65396,0.74736,0.53195,1.09234,1.4244,1.21519,0.000940006,0.000940006,0.000940006
8,230.309,1.03652,1.25038,1.15749,0.84871,0.70939,0.80539,0.59812,0.96302,1.19002,1.13075,0.000930007,0.000930007,0.000930007
9,258.193,0.96937,1.1429,1.11611,0.81984,0.73745,0.78192,0.61301,0.8921,1.12153,1.08695,0.000920008,0.000920008,0.000920008
10,286.272,0.89186,1.02521,1.08636,0.83203,0.77752,0.81481,0.66027,0.81037,0.97344,1.03127,0.000910009,0.000910009,0.000910009
11,314.104,0.8976,0.98468,1.06802,0.88988,0.75563,0.84455,0.64831,0.90375,0.94144,1.1026,0.00090001,0.00090001,0.00090001
12,341.47,0.91786,0.91488,1.09444,0.84594,0.7841,0.83668,0.64926,0.81488,0.9429,1.04562,0.000890011,0.000890011,0.000890011
13,368.505,0.85183,0.91875,1.06419,0.88914,0.75804,0.83921,0.68835,0.75839,0.89655,1.0133,0.000880012,0.000880012,0.000880012
14,395.861,0.84254,0.83614,1.02827,0.87659,0.77147,0.83215,0.68505,0.75457,0.8725,1.01247,0.000870013,0.000870013,0.000870013
15,423.605,0.78513,0.79316,1.01012,0.90468,0.77247,0.86766,0.69801,0.80021,0.84778,1.01415,0.000860014,0.000860014,0.000860014
16,451.662,0.81649,0.74174,1.01485,0.9133,0.84337,0.89266,0.72956,0.72,0.69878,0.9977,0.000850015,0.000850015,0.000850015
17,479.747,0.72588,0.73394,0.99076,0.93034,0.79884,0.86898,0.72511,0.6937,0.85239,0.99144,0.000840016,0.000840016,0.000840016
18,507.842,0.73725,0.70979,1.00194,0.93701,0.78777,0.85922,0.72356,0.71614,0.78202,1.00078,0.000830017,0.000830017,0.000830017
19,536.447,0.7185,0.6444,0.97907,0.91743,0.84676,0.88664,0.73768,0.70161,0.69505,0.98668,0.000820018,0.000820018,0.000820018
